model,accuracy,precision,recall,f1,roc_auc
MLP Neural Network,0.8059701492537313,0.7475728155339806,0.7475728155339806,0.7475728155339806,0.8553103854074727
Logistic Regression,0.8059701492537313,0.7628865979381443,0.7184466019417476,0.74,0.8551044424830833
Random Forest,0.7947761194029851,0.7608695652173914,0.6796116504854369,0.717948717948718,0.8583995292733158
XGBoost,0.7947761194029851,0.7727272727272727,0.6601941747572816,0.7120418848167539,0.8477493380406003
Decision Tree,0.7835820895522388,0.7777777777777778,0.6116504854368932,0.6847826086956522,0.8215357458075905
